,Datetime,PV Leistung in kW
362,04.01. 18:30,0.0
363,04.01. 18:45,0.0
364,04.01. 19:00,0.0
365,04.01. 19:15,0.0
366,04.01. 19:30,0.0
367,04.01. 19:45,0.0
368,04.01. 20:00,0.0
369,04.01. 20:15,0.0
370,04.01. 20:30,0.0
371,04.01. 20:45,0.0
372,04.01. 21:00,0.0
373,04.01. 21:15,0.0
374,04.01. 21:30,0.0
375,04.01. 21:45,0.0
376,04.01. 22:00,0.0
377,04.01. 22:15,0.0
378,04.01. 22:30,0.0
379,04.01. 22:45,0.0
380,04.01. 23:00,0.0
381,04.01. 23:15,0.0
382,04.01. 23:30,0.0
383,04.01. 23:45,0.0
384,05.01. 00:00,0.0
385,05.01. 00:15,0.0
386,05.01. 00:30,0.0
387,05.01. 00:45,0.0
388,05.01. 01:00,0.0
389,05.01. 01:15,0.0
390,05.01. 01:30,0.0
391,05.01. 01:45,0.0
392,05.01. 02:00,0.0
393,05.01. 02:15,0.0
394,05.01. 02:30,0.0
395,05.01. 02:45,0.0
396,05.01. 03:00,0.0
397,05.01. 03:15,0.0
398,05.01. 03:30,0.0
399,05.01. 03:45,0.0
400,05.01. 04:00,0.0
401,05.01. 04:15,0.0
402,05.01. 04:30,0.0
403,05.01. 04:45,0.0
404,05.01. 05:00,0.0
405,05.01. 05:15,0.0
406,05.01. 05:30,0.0
407,05.01. 05:45,0.0
408,05.01. 06:00,0.0
409,05.01. 06:15,0.0
410,05.01. 06:30,0.0
411,05.01. 06:45,0.0
412,05.01. 07:00,0.0
413,05.01. 07:15,0.010880833333333326
414,05.01. 07:30,0.02176166666666665
415,05.01. 07:45,0.03264249999999998
416,05.01. 08:00,0.0435233333333333
417,05.01. 08:15,0.07421124999999998
418,05.01. 08:30,0.10489916666666665
419,05.01. 08:45,0.13558708333333333
420,05.01. 09:00,0.166275
421,05.01. 09:15,0.17629541666666665
422,05.01. 09:30,0.1863158333333333
423,05.01. 09:45,0.19633624999999996
424,05.01. 10:00,0.2063566666666666
425,05.01. 10:15,0.2055004166666666
426,05.01. 10:30,0.2046441666666666
427,05.01. 10:45,0.2037879166666666
428,05.01. 11:00,0.2029316666666666
429,05.01. 11:15,0.1989954166666666
430,05.01. 11:30,0.19505916666666662
431,05.01. 11:45,0.19112291666666661
432,05.01. 12:00,0.1871866666666666
433,05.01. 12:15,0.1923491666666666
434,05.01. 12:30,0.19751166666666659
435,05.01. 12:45,0.2026741666666666
436,05.01. 13:00,0.2078366666666666
437,05.01. 13:15,0.19527499999999995
438,05.01. 13:30,0.18271333333333328
439,05.01. 13:45,0.17015166666666665
440,05.01. 14:00,0.15759
441,05.01. 14:15,0.12121083333333332
442,05.01. 14:30,0.08483166666666665
443,05.01. 14:45,0.04845249999999998
444,05.01. 15:00,0.0120733333333333
445,05.01. 15:15,0.009054999999999976
446,05.01. 15:30,0.00603666666666665
447,05.01. 15:45,0.0030183333333333243
448,05.01. 16:00,0.0
449,05.01. 16:15,0.0
450,05.01. 16:30,0.0
451,05.01. 16:45,0.0
452,05.01. 17:00,0.0
453,05.01. 17:15,0.0
454,05.01. 17:30,0.0
455,05.01. 17:45,0.0
456,05.01. 18:00,0.0
457,05.01. 18:15,0.0
458,05.01. 18:30,0.0
459,05.01. 18:45,0.0
460,05.01. 19:00,0.0
461,05.01. 19:15,0.0
462,05.01. 19:30,0.0
463,05.01. 19:45,0.0
464,05.01. 20:00,0.0
465,05.01. 20:15,0.0
466,05.01. 20:30,0.0
467,05.01. 20:45,0.0
468,05.01. 21:00,0.0
469,05.01. 21:15,0.0
470,05.01. 21:30,0.0
471,05.01. 21:45,0.0
472,05.01. 22:00,0.0
473,05.01. 22:15,0.0
474,05.01. 22:30,0.0
475,05.01. 22:45,0.0
476,05.01. 23:00,0.0
477,05.01. 23:15,0.0
478,05.01. 23:30,0.0
479,05.01. 23:45,0.0
480,06.01. 00:00,0.0
481,06.01. 00:15,0.0
482,06.01. 00:30,0.0
483,06.01. 00:45,0.0
484,06.01. 01:00,0.0
485,06.01. 01:15,0.0
486,06.01. 01:30,0.0
487,06.01. 01:45,0.0
488,06.01. 02:00,0.0
489,06.01. 02:15,0.0
490,06.01. 02:30,0.0
491,06.01. 02:45,0.0
492,06.01. 03:00,0.0
493,06.01. 03:15,0.0
494,06.01. 03:30,0.0
495,06.01. 03:45,0.0
496,06.01. 04:00,0.0
497,06.01. 04:15,0.0
498,06.01. 04:30,0.0
499,06.01. 04:45,0.0
500,06.01. 05:00,0.0
501,06.01. 05:15,0.0
502,06.01. 05:30,0.0
503,06.01. 05:45,0.0
504,06.01. 06:00,0.0
505,06.01. 06:15,0.0
506,06.01. 06:30,0.0
507,06.01. 06:45,0.0
508,06.01. 07:00,0.0
509,06.01. 07:15,0.00308625
510,06.01. 07:30,0.0061725
511,06.01. 07:45,0.00925875
512,06.01. 08:00,0.012345
513,06.01. 08:15,0.04425541666666665
514,06.01. 08:30,0.0761658333333333
515,06.01. 08:45,0.10807624999999994
516,06.01. 09:00,0.1399866666666666
517,06.01. 09:15,0.16998166666666661
518,06.01. 09:30,0.19997666666666664
519,06.01. 09:45,0.22997166666666666
520,06.01. 10:00,0.2599666666666667
521,06.01. 10:15,0.26998916666666667
522,06.01. 10:30,0.28001166666666666
523,06.01. 10:45,0.2900341666666667
524,06.01. 11:00,0.3000566666666667
525,06.01. 11:15,0.29768125
526,06.01. 11:30,0.2953058333333334
527,06.01. 11:45,0.2929304166666667
528,06.01. 12:00,0.290555
529,06.01. 12:15,0.27732083333333335
530,06.01. 12:30,0.26408666666666664
531,06.01. 12:45,0.2508525
532,06.01. 13:00,0.2376183333333333
533,06.01. 13:15,0.21174249999999997
534,06.01. 13:30,0.18586666666666665
535,06.01. 13:45,0.15999083333333333
536,06.01. 14:00,0.134115
537,06.01. 14:15,0.10917291666666666
538,06.01. 14:30,0.08423083333333331
539,06.01. 14:45,0.05928874999999996
540,06.01. 15:00,0.0343466666666666
541,06.01. 15:15,0.02575999999999995
542,06.01. 15:30,0.0171733333333333
543,06.01. 15:45,0.008586666666666652
544,06.01. 16:00,0.0
545,06.01. 16:15,0.0
546,06.01. 16:30,0.0
