wochentag_uhrzeit,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19
Di 21:00,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Di 21:15,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Di 21:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 21:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 22:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 22:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 22:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 22:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 23:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 23:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 23:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Di 23:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 00:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 00:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 00:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 00:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 01:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 01:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 01:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 01:45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 02:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 02:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 02:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 02:45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 03:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 03:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 03:30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 03:45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 04:00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 04:15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 04:30,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
Mi 04:45,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1
Mi 05:00,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1
Mi 05:15,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1
Mi 05:30,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1
Mi 05:45,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
Mi 06:00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Mi 06:15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Mi 06:30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Mi 06:45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
