Datum_Zeit;Wochentag;Fahrplan;Bus_1_kWh_15min;Bus_2_kWh_15min;Bus_3_kWh_15min;Bus_4_kWh_15min;Bus_5_kWh_15min;Bus_6_kWh_15min;Bus_7_kWh_15min;Bus_8_kWh_15min;Bus_9_kWh_15min;Bus_10_kWh_15min;Bus_11_kWh_15min;Bus_12_kWh_15min;Bus_13_kWh_15min;Bus_14_kWh_15min;Bus_15_kWh_15min;Bus_16_kWh_15min;Bus_17_kWh_15min;Bus_18_kWh_15min;Bus_19_kWh_15min
01.01.2024 20:15;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 20:30;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 20:45;Montag;Sonntag/Feiertag;0;0;0;3,92725;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 21:00;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 21:15;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 21:30;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 21:45;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 22:00;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 22:15;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 22:30;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 22:45;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 23:00;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 23:15;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 23:30;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
01.01.2024 23:45;Montag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
02.01.2024 00:00;Dienstag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
02.01.2024 00:15;Dienstag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
02.01.2024 00:30;Dienstag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
02.01.2024 00:45;Dienstag;Sonntag/Feiertag;0;0;0;0;0;0;0;0;5,592522388;0;0;0;0;0;0;0;0;0;0
02.01.2024 01:00;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 01:15;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 01:30;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 01:45;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 02:00;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 02:15;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 02:30;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 02:45;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 03:00;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 03:15;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 03:30;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 03:45;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 04:00;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 04:15;Dienstag;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.01.2024 04:30;Dienstag;Mo-Fr;0;0;0;0;0;0;0;0;0;0;6,71787037;0;0;0;6,614897059;6,579650794;0;0;0
02.01.2024 04:45;Dienstag;Mo-Fr;0;0;0;0;0;0;0;0;0;0;6,71787037;0;0;6,612734375;6,614897059;6,579650794;0;0;0
02.01.2024 05:00;Dienstag;Mo-Fr;0;0;0;0;4,660169492;0;0;0;0;0;6,71787037;6,833372881;0;6,612734375;6,614897059;6,579650794;0;0;0
02.01.2024 05:15;Dienstag;Mo-Fr;0;0;5,74820339;0;4,660169492;4,679269663;0;0;0;0;6,71787037;6,833372881;0;6,612734375;6,614897059;6,579650794;0;5,924285714;0
02.01.2024 05:30;Dienstag;Mo-Fr;6,514596491;6,048453125;5,74820339;0;4,660169492;4,679269663;0;0;0;0;6,71787037;6,833372881;6,832491525;6,612734375;6,614897059;6,579650794;6,122315789;5,924285714;0
02.01.2024 05:45;Dienstag;Mo-Fr;6,514596491;6,048453125;5,74820339;6,025830508;4,660169492;4,679269663;0;0;0;6,955240741;6,71787037;6,833372881;6,832491525;6,612734375;6,614897059;6,579650794;6,122315789;5,924285714;0
02.01.2024 06:00;Dienstag;Mo-Fr;6,514596491;6,048453125;5,74820339;6,025830508;4,660169492;4,679269663;0;6,176083333;0;6,955240741;6,71787037;6,833372881;6,832491525;6,612734375;6,614897059;6,579650794;6,122315789;5,924285714;0
