,Datetime,PV Leistung in kW
831,09.01. 15:45,0.025399999999999995
832,09.01. 16:00,0
833,09.01. 16:15,0
834,09.01. 16:30,0
835,09.01. 16:45,0
836,09.01. 17:00,0
837,09.01. 17:15,0
838,09.01. 17:30,0
839,09.01. 17:45,0
840,09.01. 18:00,0
841,09.01. 18:15,0
842,09.01. 18:30,0
843,09.01. 18:45,0
844,09.01. 19:00,0
845,09.01. 19:15,0
846,09.01. 19:30,0
847,09.01. 19:45,0
848,09.01. 20:00,0
849,09.01. 20:15,0
850,09.01. 20:30,0
851,09.01. 20:45,0
852,09.01. 21:00,0
853,09.01. 21:15,0
854,09.01. 21:30,0
855,09.01. 21:45,0
856,09.01. 22:00,0
857,09.01. 22:15,0
858,09.01. 22:30,0
859,09.01. 22:45,0
860,09.01. 23:00,0
861,09.01. 23:15,0
862,09.01. 23:30,0
863,09.01. 23:45,0
864,10.01. 00:00,0
865,10.01. 00:15,0
866,10.01. 00:30,0
867,10.01. 00:45,0
868,10.01. 01:00,0
869,10.01. 01:15,0
870,10.01. 01:30,0
871,10.01. 01:45,0
872,10.01. 02:00,0
873,10.01. 02:15,0
874,10.01. 02:30,0
875,10.01. 02:45,0
876,10.01. 03:00,0
877,10.01. 03:15,0
878,10.01. 03:30,0
879,10.01. 03:45,0
880,10.01. 04:00,0
881,10.01. 04:15,0
882,10.01. 04:30,0
883,10.01. 04:45,0
884,10.01. 05:00,0
885,10.01. 05:15,0
886,10.01. 05:30,0
887,10.01. 05:45,0
888,10.01. 06:00,0
889,10.01. 06:15,0
890,10.01. 06:30,0
891,10.01. 06:45,0
892,10.01. 07:00,0
893,10.01. 07:15,0
894,10.01. 07:30,0
895,10.01. 07:45,0
896,10.01. 08:00,0.028376666666666665
897,10.01. 08:15,0.028376666666666665
898,10.01. 08:30,0.028376666666666665
899,10.01. 08:45,0.028376666666666665
900,10.01. 09:00,0.08639999999999999
901,10.01. 09:15,0.08639999999999999
902,10.01. 09:30,0.08639999999999999
903,10.01. 09:45,0.08639999999999999
904,10.01. 10:00,0.19027000000000002
905,10.01. 10:15,0.19027000000000002
906,10.01. 10:30,0.19027000000000002
907,10.01. 10:45,0.19027000000000002
908,10.01. 11:00,0.20343166666666668
909,10.01. 11:15,0.20343166666666668
910,10.01. 11:30,0.20343166666666668
911,10.01. 11:45,0.20343166666666668
912,10.01. 12:00,0.22263333333333335
913,10.01. 12:15,0.22263333333333335
914,10.01. 12:30,0.22263333333333335
915,10.01. 12:45,0.22263333333333335
916,10.01. 13:00,0.15715500000000002
917,10.01. 13:15,0.15715500000000002
918,10.01. 13:30,0.15715500000000002
919,10.01. 13:45,0.15715500000000002
920,10.01. 14:00,0.12892666666666666
921,10.01. 14:15,0.12892666666666666
922,10.01. 14:30,0.12892666666666666
923,10.01. 14:45,0.12892666666666666
924,10.01. 15:00,0.007318333333333333
