elektrische Last,Wärmelast
0.99761241,3.467965095
0.57790661,3.51412121
0.257999943,3.427729174
0.741033432,3.303318196
0.483033489,3.807132128
0.5413878,3.75235693
0.411985222,3.724399565
0.470007974,3.776198062
0.485922786,3.810896764
0.509368714,3.976387252
0.617030522,4.250206909
0.412979897,4.411113667
0.693052169,4.352425166
0.630577059,4.175183051
0.746006811,4.006667323
0.877493472,3.853468682
0.627640397,3.73463256
0.485212303,3.68298167
0.30446551,3.632939476
0.70517774,3.601578306
0.582832623,3.600987576
0.645165636,3.73492747
1.194795035,3.87582338
0.710009022,4.065222286
0.6603226,4.073489361
0.449498707,4.132832937
0.577717148,4.038748215
0.699588609,3.904446642
0.921353936,4.024725239
0.512068548,3.962257356
0.464987229,3.943091632
0.456650899,3.990494309
0.521683747,4.029588831
0.562275991,4.193980364
0.457835037,4.464503155
0.614804343,4.629805734
0.509084521,4.571117233
1.424091478,4.393875118
0.795787964,4.211072974
0.769500105,4.052379557
2.459643663,3.929147614
0.677563646,3.880793589
0.719576855,3.82965244
0.577669782,3.79389545
0.337100348,3.795502631
0.616509502,3.93273939
0.637018768,4.074734255
0.658949,4.265232116
0.688789273,4.282290832
0.599031628,4.346030228
0.834485587,4.251945506
0.529404326,4.114347068
0.607367958,3.601627522
0.743970094,3.539159638
0.249047861,3.515598094
0.805592625,3.561901816
0.645781388,3.600996338
0.487627944,3.769783692
0.565828404,4.035910662
0.56038137,4.196817421
2.134195231,4.138128919
0.630008673,3.969678445
0.622951211,3.797865853
0.546929565,3.653458852
1.093669668,3.544513326
0.56132868,3.493961391
0.769736932,3.446117107
0.661127814,3.411459072
0.351831022,3.415264163
0.210066045,3.552500922
0.507521459,3.681308326
0.569475549,3.864113501
0.829559574,3.86468789
0.590742663,3.926229376
0.661080448,3.824451969
0.563365398,3.700040991
0.345815602,3.672350351
0.520641706,3.586415394
0.406585553,3.554906466
0.530872656,3.569849018
0.324216928,3.57768931
0.799577205,3.613298542
0.548303165,3.675578213
0.381387101,3.85216495
0.317727853,4.083567722
0.814734169,4.260089509
0.673253385,4.174519981
0.583874664,3.951708541
3.549571455,3.819244107
0.168194932,3.815736048
0.912875509,3.767891158
0.585721919,3.772432918
0.396828258,3.878162265
0.402275292,4.038923084
0.357751711,4.14420855
0.501884963,4.115322344
0.865746825,3.974771166
0.753916852,3.832465959
0.654496642,3.71500918
0.356899132,3.645479794
0.361635683,3.66467056
0.562560184,3.625616704
0.302807717,3.59410808
0.257099998,3.585529754
0.236448635,3.57768931
0.619540895,3.581937524
0.64502354,3.652057487
0.663543455,3.85216495
0.549866227,4.091409379
1.118489196,4.369854512
0.406206629,4.347006111
0.588279657,4.202599111
0.587711271,3.96821133
0.498285184,3.815736048
0.179846848,3.618923935
0.622998577,3.458821222
0.646018216,3.431265143
0.536888076,3.521461663
1.655519369,3.689471287
0.632661141,3.809552304
3.381044964,3.87284782
0.889382215,3.918709024
0.735728495,3.840453555
0.421458324,3.700255295
0.338852872,3.397221871
0.21982334,3.334753988
0.305175993,3.311192444
0.675905854,3.357496165
0.553797564,3.396590687
0.882087926,3.560982221
0.34794705,3.827109191
0.719008469,3.986916995
0.51775241,3.929327448
0.68713148,3.765272795
1.573955958,3.601152888
